"rules","support","confidence","lift"
"1","{V12*1} => {V6*1}",0.302,0.986928104575163,1.03451583288801
"2","{V12*1} => {V27*1}",0.3,0.980392156862745,1.01489871310843
"3","{V12*1} => {V17*1}",0.302,0.986928104575163,1.00706949446445
"4","{V12*1} => {V26*1}",0.304,0.993464052287582,1.00349904271473
"5","{V12*1} => {V20*1}",0.304,0.993464052287582,0.999460817190726
"6","{V12*1} => {V30*1}",0.304,0.993464052287582,0.995454962212006
"7","{V16*0} => {V24*1}",0.31,0.962732919254658,1.0155410540661
"8","{V16*0} => {V11*1}",0.312,0.968944099378882,1.01994115724093
"9","{V16*0} => {V36*1}",0.31,0.962732919254658,1.00915400341159
"10","{V16*0} => {V6*1}",0.304,0.944099378881988,0.989621990442335
"11","{V16*0} => {V25*2}",0.312,0.968944099378882,1.01566467440134
"12","{V16*0} => {V27*1}",0.31,0.962732919254658,0.99661792883505
"13","{V16*0} => {V17*1}",0.304,0.944099378881988,0.963366713144885
"14","{V16*0} => {V26*1}",0.316,0.981366459627329,0.991279252148817
"15","{V16*0} => {V20*1}",0.32,0.993788819875776,0.999787545146656
"16","{V16*0} => {V30*1}",0.322,1,1.00200400801603
"17","{V7*1} => {V14*0}",0.314,0.821989528795812,2.1076654584508
"18","{V14*0} => {V7*1}",0.314,0.805128205128205,2.1076654584508
"19","{V7*1} => {V13*1}",0.362,0.947643979057592,2.41745913024896
"20","{V13*1} => {V7*1}",0.362,0.923469387755102,2.41745913024896
"21","{V7*1} => {V8*1}",0.362,0.947643979057592,2.39304035115553
"22","{V8*1} => {V7*1}",0.362,0.914141414141414,2.39304035115553
"23","{V7*1} => {V5*1}",0.352,0.921465968586387,2.32693426410704
"24","{V5*1} => {V7*1}",0.352,0.888888888888889,2.32693426410704
"25","{V7*1} => {V18*1}",0.318,0.832460732984293,1.26513789207339
"26","{V7*1} => {V4*2}",0.316,0.827225130890052,1.21650754542655
"27","{V7*1} => {V15*1}",0.32,0.837696335078534,1.21405265953411
"28","{V7*1} => {V19*1}",0.33,0.863874345549738,1.20990804698843
"29","{V7*1} => {V21*2}",0.34,0.890052356020942,1.19953147711717
"30","{V7*1} => {V2*2}",0.338,0.884816753926702,1.1461356916149
"31","{V7*1} => {V1*2}",0.346,0.905759162303665,1.14363530593897
"32","{V7*1} => {V31*1}",0.356,0.931937172774869,1.17372439896079
"33","{V7*1} => {V22*2}",0.348,0.910994764397906,1.13590369625674
"34","{V7*1} => {V37*1}",0.31,0.81151832460733,0.992076191451503
"35","{V7*1} => {V23*2}",0.362,0.947643979057592,1.07199545142261
"36","{V7*1} => {V3*1}",0.346,0.905759162303665,1.0177069239367
"37","{V7*1} => {V28*0}",0.372,0.973821989528796,1.09172868781255
"38","{V7*1} => {V29*0}",0.374,0.979057591623037,1.08063751834772
"39","{V7*1} => {V9*1}",0.354,0.926701570680628,1.02059644348087
"40","{V7*1} => {V24*1}",0.374,0.979057591623037,1.03276117259814
