h_rule,h_no,t_rule,t_no,reference
V8,sum,V9,sum,0.866
V7,sum,V9,sum,0.862
V7,sum,V8,sum,0.866
V6,sum,V9,sum,0.862
V6,sum,V8,sum,0.886
V6,sum,V7,sum,0.882
V5,sum,V9,sum,0.844
V5,sum,V8,sum,0.838
V5,sum,V7,sum,0.846
V5,sum,V6,sum,0.902
V4,sum,V9,sum,0.62
V4,sum,V8,sum,0.322
V4,sum,V7,sum,0.316
V4,sum,V6,sum,0.648
V4,sum,V5,sum,0.332
V37,sum,V9,sum,0.742
V37,sum,V8,sum,0.754
V37,sum,V7,sum,0.754
V37,sum,V6,sum,0.784
V37,sum,V5,sum,0.756
V37,sum,V4,sum,0.55
V36,sum,V9,sum,0.866
V36,sum,V8,sum,0.886
V36,sum,V7,sum,0.882
V36,sum,V6,sum,0.91
V36,sum,V5,sum,0.886
V36,sum,V4,sum,0.652
V36,sum,V37,sum,0.776
V35,sum,V9,sum,0.644
V35,sum,V8,sum,0.386
V35,sum,V7,sum,0.39
V35,sum,V6,sum,0.676
V35,sum,V5,sum,0.382
V35,sum,V4,sum,0.476
V35,sum,V37,sum,0.706
V35,sum,V36,sum,0.702
V34,sum,V9,sum,0.678
V34,sum,V8,sum,0.408
V34,sum,V7,sum,0.41
V34,sum,V6,sum,0.706
V34,sum,V5,sum,0.404
V34,sum,V4,sum,0.498
V34,sum,V37,sum,0.736
V34,sum,V36,sum,0.722
V34,sum,V35,sum,0.65
V33,sum,V9,sum,0.616
V33,sum,V8,sum,0.368
V33,sum,V7,sum,0.374
V33,sum,V6,sum,0.648
V33,sum,V5,sum,0.364
V33,sum,V4,sum,0.456
V33,sum,V37,sum,0.67
V33,sum,V36,sum,0.666
V33,sum,V35,sum,0.66
V33,sum,V34,sum,0.612
V32,sum,V9,sum,0.626
V32,sum,V8,sum,0.372
V32,sum,V7,sum,0.378
V32,sum,V6,sum,0.656
V32,sum,V5,sum,0.37
V32,sum,V4,sum,0.466
V32,sum,V37,sum,0.678
V32,sum,V36,sum,0.682
V32,sum,V35,sum,0.68
V32,sum,V34,sum,0.626
V32,sum,V33,sum,0.632
V31,sum,V9,sum,0.718
V31,sum,V8,sum,0.734
V31,sum,V7,sum,0.72
V31,sum,V6,sum,0.76
V31,sum,V5,sum,0.732
V31,sum,V4,sum,0.536
V31,sum,V37,sum,0.648
V31,sum,V36,sum,0.756
V31,sum,V35,sum,0.566
V31,sum,V34,sum,0.578
V31,sum,V33,sum,0.54
V31,sum,V32,sum,0.55
V30,sum,V9,sum,0.906
V30,sum,V8,sum,0.926
V30,sum,V7,sum,0.922
V30,sum,V6,sum,0.952
V30,sum,V5,sum,0.928
V30,sum,V4,sum,0.68
V30,sum,V37,sum,0.816
V30,sum,V36,sum,0.952
V30,sum,V35,sum,0.708
V30,sum,V34,sum,0.74
V30,sum,V33,sum,0.678
V30,sum,V32,sum,0.688
V30,sum,V31,sum,0.792
V30,sum,V20,sum,0.992
V3,sum,V9,sum,0.81
V3,sum,V8,sum,0.8280000000000001
V3,sum,V7,sum,0.824
V3,sum,V6,sum,0.85
V3,sum,V5,sum,0.8260000000000001
V3,sum,V4,sum,0.61
V3,sum,V37,sum,0.722
V3,sum,V36,sum,0.846
V3,sum,V35,sum,0.622
V3,sum,V34,sum,0.656
V3,sum,V33,sum,0.592
V3,sum,V32,sum,0.602
V3,sum,V31,sum,0.716
V3,sum,V30,sum,0.89
V29,sum,V9,sum,0.822
V29,sum,V8,sum,0.8360000000000001
V29,sum,V7,sum,0.8300000000000001
V29,sum,V6,sum,0.866
V29,sum,V5,sum,0.8400000000000001
V29,sum,V4,sum,0.676
V29,sum,V37,sum,0.74
V29,sum,V36,sum,0.868
V29,sum,V35,sum,0.648
V29,sum,V34,sum,0.672
V29,sum,V33,sum,0.62
V29,sum,V32,sum,0.634
V29,sum,V31,sum,0.716
V29,sum,V30,sum,0.904
V29,sum,V3,sum,0.804
V28,sum,V9,sum,0.81
V28,sum,V8,sum,0.8260000000000001
V28,sum,V7,sum,0.8160000000000001
V28,sum,V6,sum,0.85
V28,sum,V5,sum,0.8240000000000001
V28,sum,V4,sum,0.638
V28,sum,V37,sum,0.728
V28,sum,V36,sum,0.856
V28,sum,V35,sum,0.642
V28,sum,V34,sum,0.662
V28,sum,V33,sum,0.614
V28,sum,V32,sum,0.63
V28,sum,V31,sum,0.706
V28,sum,V30,sum,0.89
V28,sum,V3,sum,0.79
V28,sum,V29,sum,0.854
V27,sum,V9,sum,0.882
V27,sum,V8,sum,0.898
V27,sum,V7,sum,0.894
V27,sum,V6,sum,0.922
V27,sum,V5,sum,0.896
V27,sum,V4,sum,0.68
V27,sum,V37,sum,0.784
V27,sum,V36,sum,0.922
V27,sum,V35,sum,0.68
V27,sum,V34,sum,0.71
V27,sum,V33,sum,0.65
V27,sum,V32,sum,0.662
V27,sum,V31,sum,0.768
V27,sum,V30,sum,0.966
V27,sum,V3,sum,0.862
V27,sum,V29,sum,0.876
V27,sum,V28,sum,0.862
V26,sum,V9,sum,0.898
V26,sum,V8,sum,0.918
V26,sum,V7,sum,0.914
V26,sum,V6,sum,0.944
V26,sum,V5,sum,0.92
V26,sum,V4,sum,0.68
V26,sum,V37,sum,0.808
V26,sum,V36,sum,0.946
V26,sum,V35,sum,0.702
V26,sum,V34,sum,0.732
V26,sum,V33,sum,0.676
V26,sum,V32,sum,0.682
V26,sum,V31,sum,0.79
V26,sum,V30,sum,0.988
V26,sum,V3,sum,0.882
V26,sum,V29,sum,0.9
V26,sum,V28,sum,0.884
V26,sum,V27,sum,0.956
V25,sum,V9,sum,0.864
V25,sum,V8,sum,0.882
V25,sum,V7,sum,0.88
V25,sum,V6,sum,0.912
V25,sum,V5,sum,0.888
V25,sum,V4,sum,0.678
V25,sum,V37,sum,0.776
V25,sum,V36,sum,0.914
V25,sum,V35,sum,0.674
V25,sum,V34,sum,0.704
V25,sum,V33,sum,0.652
V25,sum,V32,sum,0.656
V25,sum,V31,sum,0.758
V25,sum,V30,sum,0.952
V25,sum,V3,sum,0.852
V25,sum,V29,sum,0.864
V25,sum,V28,sum,0.85
V25,sum,V27,sum,0.92
V25,sum,V26,sum,0.954
V24,sum,V9,sum,0.862
V24,sum,V8,sum,0.878
V24,sum,V7,sum,0.878
V24,sum,V6,sum,0.904
V24,sum,V5,sum,0.88
V24,sum,V4,sum,0.68
V24,sum,V37,sum,0.778
V24,sum,V36,sum,0.906
V24,sum,V35,sum,0.674
V24,sum,V34,sum,0.708
V24,sum,V33,sum,0.642
V24,sum,V32,sum,0.654
V24,sum,V31,sum,0.752
V24,sum,V30,sum,0.946
V24,sum,V3,sum,0.844
V24,sum,V29,sum,0.86
V24,sum,V28,sum,0.844
V24,sum,V27,sum,0.914
V24,sum,V26,sum,0.938
V24,sum,V25,sum,0.908
V23,sum,V9,sum,0.8
V23,sum,V8,sum,0.8140000000000001
V23,sum,V7,sum,0.8160000000000001
V23,sum,V6,sum,0.844
V23,sum,V5,sum,0.8180000000000001
V23,sum,V4,sum,0.678
V23,sum,V37,sum,0.72
V23,sum,V36,sum,0.848
V23,sum,V35,sum,0.624
V23,sum,V34,sum,0.656
V23,sum,V33,sum,0.602
V23,sum,V32,sum,0.61
V23,sum,V31,sum,0.698
V23,sum,V30,sum,0.882
V23,sum,V3,sum,0.79
V23,sum,V29,sum,0.806
V23,sum,V28,sum,0.792
V23,sum,V27,sum,0.85
V23,sum,V26,sum,0.884
V23,sum,V25,sum,0.884
V23,sum,V24,sum,0.882
V22,sum,V9,sum,0.728
V22,sum,V8,sum,0.736
V22,sum,V7,sum,0.738
V22,sum,V6,sum,0.768
V22,sum,V5,sum,0.74
V22,sum,V4,sum,0.674
V22,sum,V37,sum,0.652
V22,sum,V36,sum,0.77
V22,sum,V35,sum,0.564
V22,sum,V34,sum,0.59
V22,sum,V33,sum,0.544
V22,sum,V32,sum,0.554
V22,sum,V31,sum,0.634
V22,sum,V30,sum,0.802
V22,sum,V3,sum,0.716
V22,sum,V29,sum,0.764
V22,sum,V28,sum,0.718
V22,sum,V27,sum,0.802
V22,sum,V26,sum,0.802
V22,sum,V25,sum,0.802
V22,sum,V24,sum,0.802
V22,sum,V23,sum,0.802
V21,sum,V9,sum,0.676
V21,sum,V8,sum,0.6779999999999999
V21,sum,V7,sum,0.678
V21,sum,V6,sum,0.71
V21,sum,V5,sum,0.6819999999999999
V21,sum,V4,sum,0.668
V21,sum,V37,sum,0.6
V21,sum,V36,sum,0.714
V21,sum,V35,sum,0.52
V21,sum,V34,sum,0.544
V21,sum,V33,sum,0.498
V21,sum,V32,sum,0.51
V21,sum,V31,sum,0.586
V21,sum,V30,sum,0.742
V21,sum,V3,sum,0.662
V21,sum,V29,sum,0.742
V21,sum,V28,sum,0.7
V21,sum,V27,sum,0.742
V21,sum,V26,sum,0.742
V21,sum,V25,sum,0.742
V21,sum,V24,sum,0.742
V21,sum,V23,sum,0.742
V21,sum,V22,sum,0.742
V20,sum,V9,sum,0.902
V20,sum,V8,sum,0.922
V20,sum,V7,sum,0.918
V20,sum,V6,sum,0.95
V20,sum,V5,sum,0.924
V20,sum,V4,sum,0.674
V20,sum,V37,sum,0.814
V20,sum,V36,sum,0.948
V20,sum,V35,sum,0.708
V20,sum,V34,sum,0.738
